date,year,meeting_id,statement_url,minutes_url
2015-04-29,2015,2015-04-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150429a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150429.htm
2015-06-17,2015,2015-06-17,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150617a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150617.htm
2015-07-29,2015,2015-07-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150729a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150729.htm
2015-09-17,2015,2015-09-17,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150917a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150917.htm
2015-10-28,2015,2015-10-28,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151028a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151028.htm
2015-12-16,2015,2015-12-16,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151216a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151216.htm
2016-01-27,2016,2016-01-27,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160127.htm
2016-03-16,2016,2016-03-16,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160316.htm
2016-04-27,2016,2016-04-27,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160427.htm
2016-06-15,2016,2016-06-15,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160615.htm
2016-07-27,2016,2016-07-27,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160727.htm
2016-09-21,2016,2016-09-21,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160921.htm
2016-11-02,2016,2016-11-02,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161102.htm
2016-12-14,2016,2016-12-14,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161214.htm
2017-02-01,2017,2017-02-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170201a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170201.htm
2017-03-15,2017,2017-03-15,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170315a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170315.htm
2017-05-03,2017,2017-05-03,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170503a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170503.htm
2017-06-14,2017,2017-06-14,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170614a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170614.htm
2017-07-26,2017,2017-07-26,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170726a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170726.htm
2017-09-20,2017,2017-09-20,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170920a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170920.htm
2017-11-01,2017,2017-11-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20171101a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20171101.htm
2017-12-13,2017,2017-12-13,https://www.federalreserve.gov/newsevents/pressreleases/monetary20171213a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20171213.htm
2018-01-31,2018,2018-01-31,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180131.htm
2018-03-21,2018,2018-03-21,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180321a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180321.htm
2018-05-02,2018,2018-05-02,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180502a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180502.htm
2018-06-13,2018,2018-06-13,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180613a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180613.htm
2018-08-01,2018,2018-08-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180801a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180801.htm
2018-09-26,2018,2018-09-26,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180926a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180926.htm
2018-11-08,2018,2018-11-08,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181108a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20181108.htm
2018-12-19,2018,2018-12-19,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181219a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20181219.htm
2019-01-30,2019,2019-01-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190130a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190130.htm
2019-03-20,2019,2019-03-20,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190320a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190320.htm
2019-05-01,2019,2019-05-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190501a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190501.htm
2019-06-19,2019,2019-06-19,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190619a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190619.htm
2019-07-31,2019,2019-07-31,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190731a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190731.htm
2019-09-18,2019,2019-09-18,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190918a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190918.htm
2019-10-30,2019,2019-10-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20191030a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20191030.htm
2019-12-11,2019,2019-12-11,https://www.federalreserve.gov/newsevents/pressreleases/monetary20191211a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20191211.htm
2020-01-29,2020,2020-01-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200129a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200129.htm
2020-04-29,2020,2020-04-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200429a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200429.htm
2020-06-10,2020,2020-06-10,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200610a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200610.htm
2020-07-29,2020,2020-07-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200729a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200729.htm
2020-09-16,2020,2020-09-16,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200916a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200916.htm
2020-11-05,2020,2020-11-05,https://www.federalreserve.gov/newsevents/pressreleases/monetary20201105a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20201105.htm
2020-12-16,2020,2020-12-16,https://www.federalreserve.gov/newsevents/pressreleases/monetary20201216a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20201216.htm
